comment_text,sentiment_label,sentiment,confidence_score,url,post_url
Thanks tất cả các AE mình chốt Signature HEV ghế tiêu chuẩn 🎉🎉,TÍCH CỰC,POS,0.9929,https://www.facebook.com/groups/1739948139826177/posts/2293093734511612?locale=en_US,https://www.facebook.com/groups/1739948139826177/posts/2293093734511612?locale=en_US
"550tr lăn bánh còn thừa cầm về, gầm cao 5 chỗ xe mới tinh , quan tâm ib hoặc lh e qua số : 0918.079.865 - Long",TÍCH CỰC,POS,0.9915,https://www.facebook.com/groups/gearupvn/posts/1463302568568206?locale=en_US,https://www.facebook.com/groups/gearupvn/posts/1463302568568206?locale=en_US
"Sonet đi phố linh hoạt, về quê vững chãi.",TÍCH CỰC,POS,0.9879,https://www.facebook.com/groups/voz.oto.xemay/posts/1508669310291922?locale=en_US,https://www.facebook.com/groups/voz.oto.xemay/posts/1508669310291922?locale=en_US
"Anh check tin nhắn em nhé, em sẽ tư vấn hỗ trợ mình ạ",TÍCH CỰC,POS,0.9904,https://www.facebook.com/groups/1167278443782686/posts/2414762739034244?locale=en_US,https://www.facebook.com/groups/1167278443782686/posts/2414762739034244?locale=en_US
Xe điện ít chi tiết cơ khí hơn nên bảo dưỡng nhẹ hơn cũng hợp lý thôi,TRUNG TÍNH,NEU,0.8591,https://www.facebook.com/kinhte.kienthuc/posts/nh%E1%BB%AFng-h%E1%BA%A1ng-m%E1%BB%A5c-b%E1%BA%A3o-d%C6%B0%E1%BB%A1ng-quan-tr%E1%BB%8Dng-m%C3%A0-xe-x%C4%83ng-ph%E1%BA%A3i-l%C3%A0m-xe-%C4%91i%E1%BB%87n-th%C3%AC-kh%C3%B4ng-chi-ph/1458369576321089?locale=en_US,https://www.facebook.com/kinhte.kienthuc/posts/nh%E1%BB%AFng-h%E1%BA%A1ng-m%E1%BB%A5c-b%E1%BA%A3o-d%C6%B0%E1%BB%A1ng-quan-tr%E1%BB%8Dng-m%C3%A0-xe-x%C4%83ng-ph%E1%BA%A3i-l%C3%A0m-xe-%C4%91i%E1%BB%87n-th%C3%AC-kh%C3%B4ng-chi-ph/1458369576321089?locale=en_US
E thì e nghĩ xe cũng ok ko lỗi mấy chỉ là cái phần mềm bảo dưỡng bảo deo có vấn đề,TRUNG TÍNH,NEU,0.7292,https://web.facebook.com/groups/xpandervietnamclub/posts/2333169300238797?locale=en_US&_rdc=1&_rdr#,https://web.facebook.com/groups/xpandervietnamclub/posts/2333169300238797?locale=en_US&_rdc=1&_rdr#
Cx30 đi thích hơn,TÍCH CỰC,POS,0.5127,https://www.facebook.com/groups/gearupvn/posts/1490736265824836?locale=en_US,https://www.facebook.com/groups/gearupvn/posts/1490736265824836?locale=en_US
Ngoài 2 cái bạn nói ra thì k3 ok.,TÍCH CỰC,POS,0.9548,https://www.facebook.com/groups/gearupvn/posts/1446891510209312?locale=en_US,https://www.facebook.com/groups/gearupvn/posts/1446891510209312?locale=en_US
.,TÍCH CỰC,POS,0.7322,https://www.facebook.com/groups/1167278443782686/posts/2555864698257380?locale=en_US,https://www.facebook.com/groups/1167278443782686/posts/2555864698257380?locale=en_US
Moá. 100km tốn 600k tiền xăng. Nói là biết chưa chạy XP rồi. Viết xạo lờ vãi,TIÊU CỰC,NEG,0.9879,https://www.facebook.com/oneshotreviewofficial/posts/ch%E1%BB%A7-xe-limo-green-chia-s%E1%BA%BB-th%E1%BA%B3ng-th%E1%BA%AFn-chi-ph%C3%AD-nhi%C3%AAn-li%E1%BB%87u-b%E1%BA%A3o-d%C6%B0%E1%BB%A1ng-ch%E1%BB%89-nh%C6%B0-xe-m%C3%A1y/1458201772537421?locale=en_US,https://www.facebook.com/oneshotreviewofficial/posts/ch%E1%BB%A7-xe-limo-green-chia-s%E1%BA%BB-th%E1%BA%B3ng-th%E1%BA%AFn-chi-ph%C3%AD-nhi%C3%AAn-li%E1%BB%87u-b%E1%BA%A3o-d%C6%B0%E1%BB%A1ng-ch%E1%BB%89-nh%C6%B0-xe-m%C3%A1y/1458201772537421?locale=en_US
